"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
85;0;0;0;0;86;0;81;0
86;0;0;0;0;98;0;95;0
87;0;0;0;0;60;0;72;3
88;0;0;0;0;44;10;37;0
89;0;0;0;0;67;1;79;8
90;0;0;0;0;150;1;153;0
91;0;0;0;0;76;0;66;27
92;0;0;0;0;75;0;69;18
93;0;0;0;0;82;3;70;16
94;0;0;0;0;70;0;76;1
95;0;0;0;0;77;0;69;12
96;0;0;0;0;92;0;93;13
97;0;0;0;0;65;5;55;21
98;0;0;0;0;64;2;52;6
99;0;0;0;0;107;2;97;18
100;0;0;0;0;74;2;63;24
101;0;0;0;0;90;0;90;11
102;0;0;0;0;99;0;99;6
103;0;0;0;0;76;0;71;0
104;0;0;0;0;48;0;58;11
105;0;0;0;0;44;0;51;0
106;0;0;0;0;86;0;90;0
107;0;0;0;0;55;0;46;14
108;0;0;0;0;115;3;104;29
109;0;0;0;0;55;0;45;18
110;0;0;0;0;75;3;64;17
111;0;0;0;0;45;1;36;13
112;0;0;0;0;41;6;32;8
113;0;0;0;0;108;5;96;35
114;0;0;0;0;120;0;132;3
115;0;0;0;0;85;1;73;30
116;0;0;0;0;86;0;84;0
117;0;0;0;0;70;0;75;2
118;0;0;0;0;73;0;82;1
119;0;0;0;0;25;0;31;0
120;0;0;0;0;31;0;29;0
121;0;0;0;0;65;0;57;0
122;0;0;0;0;44;0;55;0
123;0;0;0;0;74;5;68;0
124;0;0;0;0;64;0;53;0
125;0;0;0;0;75;0;74;0
126;0;0;0;0;48;0;60;2
127;0;0;0;0;51;0;63;5
128;0;0;0;0;129;2;141;7
129;0;0;0;0;159;4;171;30
130;0;0;0;0;98;0;86;4
131;0;0;0;0;110;0;107;0
132;0;0;0;0;116;0;128;5
133;0;0;0;0;103;3;115;1
134;0;0;0;0;64;7;75;5
135;0;0;0;0;130;0;142;20
136;0;0;0;0;78;0;90;16
137;0;0;0;0;78;0;70;2
138;0;0;0;0;43;0;37;0
139;0;0;0;0;92;0;103;5
140;0;0;0;0;71;0;60;0
141;0;0;0;0;42;0;47;0
142;0;0;0;0;75;0;85;0
143;0;0;0;0;53;0;49;3
144;0;0;0;0;34;0;34;0
145;0;0;0;0;81;0;82;2
146;0;0;0;0;43;0;51;1
147;0;0;0;0;49;0;40;1
148;0;0;0;0;77;0;69;6
149;0;0;0;0;160;4;165;0
150;0;0;0;0;41;0;38;0
151;0;0;0;0;59;0;54;1
152;0;0;0;0;48;0;41;2
153;0;0;0;0;53;0;51;0
154;0;0;0;0;53;0;51;1
155;0;0;0;0;94;0;99;7
156;0;0;0;0;94;9;87;0
157;0;0;0;0;122;5;125;0
158;0;0;0;0;74;0;65;2
159;0;0;0;0;62;0;50;2
160;0;0;0;0;179;0;167;3
161;0;0;0;0;131;1;137;0
162;0;0;0;0;115;3;103;20
163;0;0;0;0;212;0;218;0
164;0;0;0;0;156;0;146;6
165;0;0;0;0;61;2;56;7
166;0;0;0;0;146;3;140;33
167;0;0;0;0;85;2;73;16
168;0;0;0;0;150;0;155;1
169;0;0;0;0;144;0;150;0
170;0;0;0;0;161;0;166;12
171;0;0;0;0;79;0;84;0
172;0;0;0;0;93;1;89;0
173;0;0;0;0;24;0;32;0
174;0;0;0;0;52;7;64;2
175;0;0;0;0;127;2;139;5
